Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,4070.000000,4080.000000,3910.000000,3950.000000,3498.449219,267366500
2017-11-02,3980.000000,4110.000000,3970.000000,4030.000000,3569.303955,154764900
2017-11-03,4050.000000,4100.000000,4010.000000,4090.000000,3622.445068,80926400
2017-11-06,4100.000000,4210.000000,4070.000000,4190.000000,3711.012939,177511800
2017-11-07,4180.000000,4210.000000,4160.000000,4190.000000,3711.012939,84694700
2017-11-08,4160.000000,4160.000000,4100.000000,4100.000000,3631.301514,145225500
2017-11-09,4100.000000,4180.000000,4100.000000,4160.000000,3684.442627,91933800
2017-11-10,4130.000000,4160.000000,4120.000000,4120.000000,3649.015381,56993800
2017-11-13,4130.000000,4160.000000,4100.000000,4100.000000,3631.301514,92109100
2017-11-14,4100.000000,4110.000000,4070.000000,4080.000000,3613.588135,64809800
2017-11-15,4090.000000,4180.000000,4080.000000,4130.000000,3657.872314,96128400
2017-11-16,4150.000000,4230.000000,4150.000000,4200.000000,3719.870605,134137000
2017-11-17,4200.000000,4230.000000,4200.000000,4200.000000,3719.870605,80261800
2017-11-20,4220.000000,4220.000000,4150.000000,4150.000000,3675.585693,48453900
2017-11-21,4170.000000,4200.000000,4150.000000,4200.000000,3719.870605,96842900
2017-11-22,4220.000000,4220.000000,4190.000000,4200.000000,3719.870605,69602300
2017-11-23,4200.000000,4270.000000,4200.000000,4250.000000,3764.154297,62887900
2017-11-24,4220.000000,4320.000000,4220.000000,4320.000000,3826.152100,87879900
2017-11-27,4320.000000,4350.000000,4280.000000,4300.000000,3808.438232,82769500
2017-11-28,4270.000000,4290.000000,4230.000000,4240.000000,3755.297363,99928100
2017-11-29,4220.000000,4240.000000,4180.000000,4200.000000,3719.870605,79872900
2017-11-30,4200.000000,4220.000000,4150.000000,4150.000000,3675.585693,185905200
2017-12-01,4150.000000,4150.000000,4150.000000,4150.000000,3675.585693,0
2017-12-04,4180.000000,4230.000000,4160.000000,4200.000000,3719.870605,78040500
2017-12-05,4210.000000,4220.000000,4180.000000,4200.000000,3719.870605,96504800
2017-12-06,4160.000000,4210.000000,4160.000000,4200.000000,3719.870605,92126500
2017-12-07,4200.000000,4210.000000,4160.000000,4200.000000,3719.870605,52703100
2017-12-08,4150.000000,4200.000000,4120.000000,4140.000000,3666.729248,88536500
2017-12-11,4110.000000,4150.000000,4110.000000,4140.000000,3666.729248,47625800
2017-12-12,4150.000000,4190.000000,4150.000000,4170.000000,3693.299561,63036000
2017-12-13,4150.000000,4200.000000,4150.000000,4200.000000,3719.870605,49020200
2017-12-14,4220.000000,4250.000000,4200.000000,4250.000000,3764.154297,61517800
2017-12-15,4200.000000,4240.000000,4180.000000,4230.000000,3746.440430,77110600
2017-12-18,4250.000000,4250.000000,4170.000000,4240.000000,3755.297363,47756500
2017-12-19,4200.000000,4200.000000,4170.000000,4190.000000,3711.012939,85383600
2017-12-20,4190.000000,4200.000000,4160.000000,4160.000000,3684.442627,87778400
2017-12-21,4190.000000,4250.000000,4170.000000,4250.000000,3764.154297,83893400
2017-12-22,4250.000000,4300.000000,4210.000000,4300.000000,3808.438232,50330400
2017-12-25,4300.000000,4300.000000,4300.000000,4300.000000,3808.438232,0
2017-12-26,4300.000000,4300.000000,4300.000000,4300.000000,3808.438232,0
2017-12-27,4270.000000,4310.000000,4270.000000,4300.000000,3808.438232,32211800
2017-12-28,4300.000000,4390.000000,4270.000000,4390.000000,3888.149902,88576700
2017-12-29,4390.000000,4460.000000,4390.000000,4440.000000,3932.434082,110053200
2018-01-01,4440.000000,4440.000000,4440.000000,4440.000000,3932.434082,0
2018-01-02,4430.000000,4460.000000,4380.000000,4410.000000,3905.863037,66075600
2018-01-03,4380.000000,4380.000000,4200.000000,4230.000000,3746.440430,129205000
2018-01-04,4230.000000,4250.000000,4190.000000,4220.000000,3737.583740,77953300
2018-01-05,4220.000000,4280.000000,4200.000000,4280.000000,3790.724854,55863000
2018-01-08,4250.000000,4290.000000,4250.000000,4260.000000,3773.010986,42916700
2018-01-09,4240.000000,4240.000000,4180.000000,4200.000000,3719.870605,100497400
2018-01-10,4200.000000,4250.000000,4180.000000,4190.000000,3711.012939,95004000
2018-01-11,4200.000000,4200.000000,4150.000000,4170.000000,3693.299561,80524900
2018-01-12,4160.000000,4190.000000,4130.000000,4130.000000,3657.872314,70976800
2018-01-15,4160.000000,4170.000000,4100.000000,4120.000000,3649.015381,71388000
2018-01-16,4150.000000,4220.000000,4120.000000,4210.000000,3728.727051,84393300
2018-01-17,4210.000000,4220.000000,4180.000000,4200.000000,3719.870605,77197700
2018-01-18,4210.000000,4240.000000,4160.000000,4170.000000,3693.299561,100089500
2018-01-19,4190.000000,4190.000000,4120.000000,4160.000000,3684.442627,70890100
2018-01-22,4120.000000,4160.000000,4120.000000,4130.000000,3657.872314,83090400
2018-01-23,4160.000000,4160.000000,4030.000000,4090.000000,3622.445068,184176500
2018-01-24,4090.000000,4090.000000,3970.000000,3980.000000,3525.019775,241779600
2018-01-25,3980.000000,4020.000000,3920.000000,3970.000000,3516.162842,232552500
2018-01-26,3990.000000,4160.000000,3990.000000,4150.000000,3675.585693,246067800
2018-01-29,4170.000000,4180.000000,4030.000000,4070.000000,3604.731445,156356300
2018-01-30,4020.000000,4040.000000,3960.000000,3970.000000,3516.162842,140694300
2018-01-31,3960.000000,4060.000000,3950.000000,3990.000000,3533.876465,112276200
2018-02-01,4030.000000,4070.000000,3980.000000,3980.000000,3525.019775,102291000
2018-02-02,4030.000000,4030.000000,4000.000000,4000.000000,3542.733398,71707200
2018-02-05,3950.000000,4030.000000,3920.000000,4010.000000,3551.590332,70792500
2018-02-06,3950.000000,3990.000000,3930.000000,3940.000000,3489.592529,146207400
2018-02-07,3990.000000,4020.000000,3950.000000,3980.000000,3525.019775,120081100
2018-02-08,3980.000000,4040.000000,3940.000000,4020.000000,3560.447021,101865000
2018-02-09,3970.000000,4000.000000,3940.000000,3950.000000,3498.449219,78255000
2018-02-12,3950.000000,3990.000000,3950.000000,3960.000000,3507.306152,58535200
2018-02-13,3990.000000,4060.000000,3980.000000,4040.000000,3578.160645,79288000
2018-02-14,4050.000000,4080.000000,3990.000000,4040.000000,3578.160645,63313200
2018-02-15,4050.000000,4060.000000,4000.000000,4010.000000,3551.590332,32896000
2018-02-16,4010.000000,4010.000000,4010.000000,4010.000000,3551.590332,0
2018-02-19,4050.000000,4080.000000,4040.000000,4050.000000,3587.017578,89429500
2018-02-20,4080.000000,4080.000000,4040.000000,4070.000000,3604.731445,53466600
2018-02-21,4040.000000,4080.000000,4020.000000,4070.000000,3604.731445,74130200
2018-02-22,4070.000000,4070.000000,4010.000000,4010.000000,3551.590332,91272600
2018-02-23,4030.000000,4040.000000,4010.000000,4030.000000,3569.303955,59706400
2018-02-26,4050.000000,4050.000000,4010.000000,4030.000000,3569.303955,56293900
2018-02-27,4030.000000,4030.000000,3960.000000,4020.000000,3560.447021,81554100
2018-02-28,3970.000000,4050.000000,3970.000000,4000.000000,3542.733398,94528200
2018-03-01,4050.000000,4090.000000,4020.000000,4060.000000,3595.874268,84215600
2018-03-02,4060.000000,4070.000000,4030.000000,4070.000000,3604.731445,61410200
2018-03-05,4050.000000,4060.000000,4000.000000,4020.000000,3560.447021,56394900
2018-03-06,4050.000000,4060.000000,4020.000000,4020.000000,3560.447021,59010500
2018-03-07,4000.000000,4040.000000,3980.000000,4000.000000,3542.733398,100646000
2018-03-08,4050.000000,4140.000000,4020.000000,4140.000000,3666.729248,152547000
2018-03-09,4150.000000,4160.000000,4090.000000,4150.000000,3675.585693,97354700
2018-03-12,4170.000000,4200.000000,4130.000000,4200.000000,3719.870605,87344000
2018-03-13,4160.000000,4180.000000,4080.000000,4090.000000,3622.445068,96605900
2018-03-14,4070.000000,4090.000000,4040.000000,4060.000000,3595.874268,74296000
2018-03-15,4030.000000,4040.000000,3930.000000,3930.000000,3480.735352,133775500
2018-03-16,3930.000000,3950.000000,3820.000000,3820.000000,3383.310547,208216200
2018-03-19,3860.000000,3900.000000,3810.000000,3820.000000,3383.310547,111808000
2018-03-20,3800.000000,3810.000000,3640.000000,3660.000000,3241.601074,254154700
2018-03-21,3660.000000,3720.000000,3630.000000,3710.000000,3285.885254,152085900
2018-03-22,3720.000000,3810.000000,3690.000000,3700.000000,3277.028564,132850400
2018-03-23,3520.000000,3690.000000,3520.000000,3660.000000,3241.601074,104485500
2018-03-26,3600.000000,3650.000000,3580.000000,3590.000000,3179.603271,104993600
2018-03-27,3630.000000,3650.000000,3540.000000,3560.000000,3153.032715,106157400
2018-03-28,3570.000000,3620.000000,3540.000000,3570.000000,3161.889648,83907700
2018-03-29,3580.000000,3600.000000,3530.000000,3600.000000,3188.459717,106930200
2018-03-30,3600.000000,3600.000000,3600.000000,3600.000000,3188.459717,0
2018-04-02,3640.000000,3680.000000,3600.000000,3670.000000,3250.457520,63944000
2018-04-03,3640.000000,3670.000000,3620.000000,3630.000000,3215.030762,57234700
2018-04-04,3630.000000,3660.000000,3570.000000,3600.000000,3188.459717,80976000
